author_sort,title,series,series_index,Stars (out of 5)
"Rowling, J. K.",The Tales of Beedle the Bard,,1,4
"Rowling, J. K. & Whisp, Kennilworthy",Quidditch Through the Ages,,1,4
"Rowson, Pauline",Blood on the Sand,,1,5
"Rowson, Pauline",Dead Man's Wharf,,1,5
"Roy, Lori",Bent Road,,1,5
"Royster, Charles",The Fabulous History of the Dismal Swamp Company: A Story of George Washington's Times,,1,5
"Rozan, S. J.",Stone Quarry,Bill Smith/Lydia Chin,6,3
"Rozan, S. J.",Trail of Blood,Bill Smith/Lydia Chin,9,5
"Rozan, S. J.",Absent Friends,,1,5
"Rozan, S. J.",Bronx Noir,,1,5
"Rubart, James L.",Book of Days: A Novel,,1,5
"Rubart, James L.",Rooms: A Novel,,1,5
"Rubens, Michael",The Sheriff of Yrnameer,,1,3
"Rucka, Greg",A gentleman's game: a queen & country novel,Queen and Country Novels,1,5
"Ruden, Ronald A.","When the Past Is Always Present: Emotional Traumatization, Causes, and Cures",,1,5
"Rudolph, Penny",Lifeblood,,1,5
"Rudolph, Penny",Listen to the Mockingbird,,1,5
"Rudolph, Penny",Thicker Than Blood,,1,5
"Rue, Nancy N.",Sophie's World,FaithGirlz!,1,5
"Rue, Nancy N.",Sophie's Secret,FaithGirlz!,2,5
"Ruhlman, Michael",The reach of a chef: beyond the kitchen,,1,5
"Rule, Ann",In the Still of the Night: The Strange Death of Ronda Reynolds and Her Mother's Unceasing Quest for the Truth,,1,3
"Rumsfeld, Donald",Known and Unknown: A Memoir,,1,5
"Rusbridger, Alan",Smelliest Day at the Zoo,,1,5
"Rusch, Kristine Kathryn",Star Wars: The New Rebellion,Star Wars: 17 ABY,1,3
"Rusesabagina, Paul & Zoellner, Tom",An Ordinary Man,,1,5
"Rushdie, Salman",Fury: A Novel,,1,5
"Rushdie, Salman",Grimus,,1,5
"Rushdie, Salman",Luka and the Fire of Life,,1,5
"Rushdie, Salman",Midnight's Children: A Novel,,1,5
"Rushdie, Salman",Shalimar the Clown: A Novel,,1,5
"Rushdie, Salman",Step Across This Line: Collected Nonfiction 1992-2002,,1,5
"Rushdie, Salman",The Enchantress of Florence: A Novel,,1,5
"Rushdie, Salman",The satanic verses: a novel,,1,3
"Russe, Savannah",Beyond the pale,Darkwing Chronicles,1,4
"Russe, Savannah",Past Redemption,Darkwing Chronicles,2,4
"Russe, Savannah",Beneath the Skin,Darkwing Chronicles,3,4
"Russe, Savannah",In the Blood,Darkwing Chronicles,4,4
"Russe, Savannah",Under Darkness,Darkwing Chronicles,5,4
"Russell, Gary",Doctor Who: Placebo Effect,Doctor Who: Eight Doctor,13,3
"Russell, Gary",Invasion of the Cat-People,Doctor Who: Missing Adventures,13,3
"Russell, Gary",The Scales of Injustice,Doctor Who: Missing Adventures,24,3
"Russell, Gary",Doctor Who: Legacy,Doctor Who: New Adventures,25,3
"Russell, Gary",Doctor Who: The Glamour Chase,Doctor Who: New Series,42,3
"Russell, Gary",Doctor Who: Business Unusual,Doctor Who: Past Adventures,4,3
"Russell, Gary",Doctor Who: Divided Loyalties,Doctor Who: Past Adventures,26,3
"Russell, Gary",Doctor Who: Instrument of Darkness,Doctor Who: Past Adventures,48,3
"Russell, Gary",Doctor Who: Spiral Scratch,Doctor Who: Past Adventures,72,3
"Russell, Gary",Doctor Who: The Twilight Streets,Doctor Who: Torchwood,6,5
"Russell, Karen",St Lucy's Home for Girls Raised by Wolves,,1,5
"Russell, Mary Doria",Doc,,1,5
"Russell, Neil",City of War,,1,5
"Russo, Gus",The Outfit: The Role of Chicago's Underworld in the Shaping of Modern America,,1,5
"Rutherfurd, Edward",The Rebels of Ireland: The Dublin Saga,The Dublin Saga,2,5
"Rutherfurd, Edward",London,,1,5
"Rutherfurd, Edward",New York: the novel,,1,5
"Rutherfurd, Edward",Russka: The Novel of Russia,,1,5
"Rutherfurd, Edward",The Forest,,1,5
"Ruttan, Sandra",The Frailty of Flesh,"Nolan, Hart and Tain Series",2,5
"Ryan, Chris",Who Dares Wins,,1,5
"Ryan, Robert",Signal Red,,1,3
"Rylander, Chris",The Fourth Stall,,1,5
"Saavedra, Miguel De Cervantes & Grossman, Edith & Bloom, Harold",Don Quixote,,1,5
"Sachar, Louis",The Cardturner,,1,5
"Sade, Marquis De",The 120 Days of Sodom,,1,4
"Sagan, Carl",Contact,,1,4
"Sagan, Carl",Cosmos,,1,3
"Sagan, Carl",Pale Blue Dot: A Vision of the Human Future in Space,,1,3
"Sagan, Carl",The Demon-Haunted World: Science as a Candle in the Dark,,1,3
"Sage, Angie","Septimus Heap, Book One: Magyk",Septimus Heap,1,5
"Saint, Paul",Science-Fiction:Doctor Who,Doctor Who: Past Adventures,56,3
"Saint-Exupéry, Antoine de & Testot-Ferry, Irene",The little prince,,1,4
"Sajer, Guy",The Forgotten Soldier,,1,5
"Saknussemm, Kris",Enigmatic Pilot: A Tall Tale Too True,,1,5
"Salinger, Jerome David",The Catcher in the Rye,,1,4
"Salisbury, Laney & Sujo, Aly",Provenance: How a Con Man and a Forger Rewrote the History of Modern Art,,1,5
"Salter, James & Salter, Kay",Life Is Meals: A Food Lover's Book of Days,,1,5
"Salvatore, R. A.",Echoes of the Fourth Magic,Chronicles of Ynis Aielle,1,5
"Salvatore, R. A.",The Witch's Daughter,Chronicles of Ynis Aielle,2,5
"Salvatore, R. A.",Bastion of Darkness,Chronicles of Ynis Aielle,3,5
"Salvatore, R. A.",The Crimson Shadow,Crimson Shadow,1,5
"Salvatore, R. A.",The Chaos Curse,Forgotten Realms: The Cleric Quintet,5,5
"Salvatore, R. A.",The Ghost King,Forgotten realms: Transitions,3,5
"Salvatore, R. A.",Gauntlgrym,Neverwinter,1,5
"Salvatore, R. A.",Star Wars: Episode II: Attack of the Clones,Star Wars: 22 BBY,1,3
"Salvatore, R. A.",Star Wars: Vector Prime,Star Wars: 25 ABY,1,3
"Salvatore, R. A.",The Fallen Fortress: The Cleric Quintet,The Cleric Quintet,4,5
"Salzberg, Sharon",Real Happiness,,1,5
"Samms, Tara",Doctor Who: Frayed,Doctor Who: Telos Novellas,11,3
"Samuels, Monica & Conklin, J. C.","Comeback Moms: How to Leave Work, Raise Children, and Restart Your Career Even if You Haven't Had a Job in Years",,1,5
"Sanders, Chris Sanders; Chris",Practical Packet Analysis,,1,5
"Sanders, Lisa",Every patient tells a story: medical mysteries and the art of diagnosis,,1,5
"Sanderson, Brandon",Alcatraz Versus the Evil Librarians,Alcatraz,1,5
"Sanderson, Brandon",Mistborn: The Final Empire,Mistborn Trilogy,1,4
"Sanderson, Brandon",The Well of Ascension,Mistborn Trilogy,2,4
"Sanderson, Brandon",The Hero of Ages,Mistborn Trilogy,3,4
"Sanderson, Brandon",Mistborn: The Final Empire,,1,5
"Sanderson, Brandon",The Way of Kings,,1,5
"Sandford, John",Broken prey,Lucas Davenport,16,5
"Sandford, John",Invisible Prey,Lucas Davenport,17,5
"Sandford, John",Buried Prey,Prey,21,5
"Sandford, John",Bad Blood,Virgil Flowers,4,5
"Sandford, John",Storm Prey,,1,5
"Sandler, Michael & Lee, Jessica",Barefoot Running: How to Run Light and Free by Getting in Touch With the Earth,,1,5
"Sandlin, Lee",Wicked River: The Mississippi When It Last Ran Wild,,1,5
"Sandlin, Tim",Skipped Parts,,1,5
"Sands, Charlene",Million-Dollar Marriage Merger,,1,5
"Sani, Raja Abd Allah & Booth, Marilyn & Alsanea, Rajaa",Girls of Riyadh,,1,5
"Sansom, C. J.",Sovereign,,1,5
"Saramago, José",The Collected Novels of José Saramago,,1,5
"Sargent, Pamela & Zebrowski, George",A Fury Scorned,Star Trek: TNG,58,3
"Sarig, Roni",The Secret History of Rock: The Most Influential Bands You've Never Heard,,1,5
"Sass, Erik & Pearson, Will & Hattikudur, Mangesh",The Mental Floss History of the United States: The (Almost) Complete and (Entirely) Entertaining Story of America,,1,5
"Saul, John",The Blackstone Chronicles,Blackstone Chronicles,1,5
"Saul, John",Black Lightning,,1,5
"Saul, John",Brain Child,,1,5
"Saul, John",Comes the Blind Fury,,1,5
"Saul, John",Creature,,1,5
"Saul, John",Cry for the Strangers,,1,5
"Saul, John",Darkness,,1,5
"Saul, John",Hellfire,,1,5
"Saul, John",House of Reckoning,,1,3
"Saul, John",Perfect Nightmare,,1,5
"Saul, John",Punish the Sinners,,1,5
"Saul, John",Second Child,,1,5
"Saul, John",Shadows,,1,5
"Saul, John",Sleepwalk,,1,5
"Saul, John",Suffer the Children,,1,5
"Saul, John",The God Project,,1,5
"Saul, John",The Manhattan Hunt Club,,1,5
"Saul, John",The Presence,,1,5
"Saward, Eric",Doctor Who: The Visitation,Doctor Who: Target,69,3
"Saward, Eric",Doctor Who: The Twin Dilemma,Doctor Who: Target,103,3
"Saward, Eric",Doctor Who: Attack of the Cybermen,Doctor Who: Target,138,3
"Sawyer, Kim Vogel",In Every Heartbeat,,1,5
"Sawyer, Ralph D.",Ancient Chinese Warfare,,1,5
"Sawyer, Robert J.",WWW: Wonder,WWW,1,5
"Saylor, Steven",Empire: The Novel of Imperial Rome,Novels of Ancient Rome,2,5
"Scalzi, John",Old Man's War,Old Man's War,1,4
"Scalzi, John",The Ghost Brigades,Old man's war universe,2,5
"Scarborough, Elizabeth Ann",Cleopatra 7.2,,1,3
"Scarborough, Elizabeth Ann",Harem of Aman Akbar,,1,4
"Scarrow, Alex",A Thousand Suns,,1,5
"Scarrow, Alex",Afterlight,,1,5
"Scarrow, Alex",Day of the Predator,,1,5
"Scarrow, Alex",Last Light,,1,5
"Scarrow, Alex",October Skies,,1,5
"Scarrow, Simon & Simon",Young Bloods,Revolution,1,5
"Scarrow, Simon & Simon",The Generals,,1,5
"Schechter, Harold",Deranged: The Shocking True Story of America's Most Fiendish Killer,,1,4
"Schechter, Harold","Killer Colt: Murder, Disgrace, and the Making of an American Legend",,1,5
"Schell, Adam","Tomato Rhapsody: A Fable of Love, Lust and Forbidden Fruit",,1,5
"Schenck, Susan E. & BidWell, Victoria","The Live Food Factor: The Comprehensive Guide to the Ultimate Diet for Body, Mind, Spirit & Planet",,1,5
"Schiff, Stacy",Cleopatra: A Life,,1,5
"Schlink, Bernhard",The Gordian Knot,,1,5
"Schlink, Bernhard & Constantine, Peter",Self's deception,Gerhard Self,2,5
"Schlink, Bernhard & Popp, Walter",Self's punishment,Gerhard Self,1,5
"Schloss, Andrew & Joachim, David & Miksch, Alison",Mastering the Grill: The Owner's Manual for Outdoor Cooking,,1,5
"Schlosser, Eric",Fast Food Nation,,1,5
"Schmidt, Douglas Mauro; Kevin","Essential SNMP, 2nd Edition",,1,5
"Schoenewaldt, Pamela",When We Were Strangers,,1,5
"Scholes, Ken",Antiphon,Palms of Issac,1,5
"Schow, David J.",Internecine,,1,5
"Schreiber, Joe",Star Wars: Death Troopers,Star Wars: 1 BBY,1,3
"Schreiber, Joe","No Doors, No Windows",,1,3
"Schrenk, Michael","Webbots, Spiders, and Screen Scrapers",,1,5
"Schulz, Bruno & Wieniewska, Celina",Sanatorium Under the Sign of the Hourglass,,1,4
"Schumacher, Michael","Wreck of the Carl D.: A True Story of Loss, Survival, and Rescue at Sea",,1,5
"Schuster, Michael",Star Trek: Myriad Universes: Shattered Light,Star Trek,2010.12,5
"Schwab, Eileen Clymer",Promise Bridge,,1,5
"Schwartz, Baron & Zaitsev, Peter & Tkachenko, Vadim & Zawodny, Jeremy D. & Lentz, Arjen & Balling, Derek J.","High Performance MySQL, 2nd Edition",,1,5
"Schweighofer, Peter",Star Wars: Tales From the Empire,Star Wars: 3.5 ABY,2,3
"Schweighofer, Peter & Carey, Craig",Star Wars: Tales From the New Republic,Star Wars: 5 ABY,1,3
"Scieszka, Jon & Barnett, Mac & Rex, Adam & DiCamillo, Kate & Curtis, Christopher Paul & Colfer, Eoin",Guys Read: Funny Business,,1,5
"Scotch, Allison Winn",Time of My Life: A Novel,,1,5
"Scott, Bronwyn",Arabian Nights With a Rake,,1,5
"Scott, Michael",The Alchemyst,The Secrets of the Immortal Nicholas Flamel,1,3
"Scott, Michael",The Magician,The Secrets of the Immortal Nicholas Flamel,2,3
"Scott, Michael",The Sorceress,The Secrets of the Immortal Nicholas Flamel,3,3
"Scott, Michael",The Necromancer,The Secrets of the Immortal Nicholas Flamel,4,3
"Scott, Rob",The Hickory Staff,Eldarn,1,5
"Scott, Rob & Gordon, Jay",Lessek's Key,Eldarn,2,5
"Scott, Rob & Gordon, Jay",The Larion Senators,Eldarn,3,5
"Scott, Walter",Ivanhoe - A Romance,,1,5
"Scotti, R.A.",Sudden Sea: The Great Hurricane of 1938,,1,5
"Scottoline, Lisa",Look Again,,1,5
"Scottoline, Lisa",Save Me,,1,5
"Searle, Ronald",The Terror of St Trinian's and Other Drawings,,1,5
"Sebold, Alice",The Lovely Bones,,1,5
"Sedaris, David",Barrel Fever,,1,5
"Sedaris, David",Dress your family in corduroy and denim,,1,4
"Sedaris, David",Me Talk Pretty One Day,,1,5
"Sedaris, David",Naked,,1,4
"Sedaris, David",Santaland Diaries,,1,3
"Sedaris, David",Squirrel Seeks Chipmunk: A Modest Bestiary,,1,5
"Sedaris, David",When You Are Engulfed in Flames,,1,5
"See, Lisa",Snow Flower and the Secret Fan,,1,5
"Seethaler, Sherry","Curious Folks Ask: 162 Real Answers on Amazing Inventions, Fascinating Products, and Medical Mysteries",,1,5
"Semel, Nava",And the Rat Laughed,,1,5
"Senor, Dan & Singer, Saul",Start-Up Nation: The Story of Israel's Economic Miracle,,1,5
"Seslick, Dale",Dr Dale's Zombie Dictionary: The A-Z Guide to Staying Alive,,1,5
"Sethi, Ramit","I Will Teach You to Be Rich: No Guilt, No Excuses - Just a 6-Week Programme That Works",,1,5
"Setterfield, Diane",The thirteenth tale: a novel,,1,5
"Seymour, Gerald",The Dealer and the Dead,,1,5
"Shaffer, Paul & Ritz, David",We'll be here for the rest of our lives: a swingin' show-biz saga,,1,5
"Shakespeare, William",Henry IV (Part 1),Second Tetralogy,2,5
"Shakespeare, William",Henry IV (Part 2),Second Tetralogy,3,5
"Shakespeare, William",Hamlet,,1,5
"Shakespeare, William",Much Ado about Nothing,,1,5
"Shakespeare, William",Othello,,1,5
"Shakespeare, William",Romeo and Juliet,,1,5
"Shakespeare, William",The Merchant of Venice,,1,5
"Shakespeare, William",The Tempest,,1,5
"Shakespeare, William",The Winter's Tale,,1,5
"Shakespeare, William",William Shakespeare: The Complete Works 2nd Edition,,1,5
"Shalamov, Varlam Tikhonovich",Kolyma Tales,,1,5
"Shalvis, Jill","Kiss Me, Kate! and Hug Me, Holly!: Duets 2 Romantic Comedies",Harlequin Duets,42,5
"Shamsie, Kamila",Burnt Shadows,,1,4
"Shan, Darren",Procession of the Dead (The City),The City,1,5
"Shan, Darren",Lord Loss,The Demonata,1,5
"Shan, Darren",Slawter,The Demonata,3,5
"Shan, Darren",Blood Beast,The Demonata,5,5
"Shan, Darren",Demon Apocalypse,The Demonata,6,5
"Shan, Darren",Death's Shadow,The Demonata,7,5
"Shan, Darren",Cirque du Freak,The Saga of Darren Shan,1,5
"Shan, Darren",The vampire's assistant,The Saga of Darren Shan,2,5
"Shapard, David & Austen, Jane",The Annotated Pride and Prejudice,,1,5
"Shapiro, Elena Mauli","13, Rue Thérèse",,1,5
"Sharee, Keith & Frakes, Jonathan",Gulliver's Fugitives,Star Trek: TNG,13,3
"Sharlet, Jeff",The family: the secret fundamentalism at the heart of American power,,1,5
"Sharpe, Tom",Wilt,Wilt,1,4
"Sharpe, Tom",The Wilt Alternative,Wilt,2,4
"Sharpe, Tom",Wilt on High,Wilt,3,4
"Sharpe, Tom",Wilt in Nowhere,Wilt,4,4
"Sharpe, Tom",Blott on the Landscape,,1,4
"Sharpe, Tom",Grantchester Grind,,1,4
"Sharpe, Tom",Indecent Exposure,,1,4
"Sharpe, Tom",Porterhouse Blue,,1,4
"Sharpe, Tom",Riotous Assembly,,1,4
"Sharpe, Tom",The Great Pursuit,,1,4
"Sharpe, Tom",The Midden,,1,4
"Sharpe, Tom",The Throwback,,1,4
"Sharpe, Tom",Vintage Stuff,,1,4
"Shaw, George Bernard",Caesar and Cleopatra Caesar and Cleopatra,,1,4
"Shaw, George Bernard",Pygmalion and three other plays,,1,5
"Shea, Robert & Wilson, Robert Anton",The illuminatus! trilogy,The Illuminatus! Trilogy,1,5
"Sheck, Laurie",A Monster's Notes,,1,5
"Sheckley, Alisa",The Better to Hold You,Abra Barrow,1,5
"Sheckley, Alisa",Moonburn,Abra Barrow,2,5
"Sheehan, Jacqueline",Lost & Found,,1,5
"Sheehan, Neil",A fiery peace in a cold war: Bernard Schriever and the ultimate weapon,,1,5
"Sheffield, Rob","Love Is a Mix Tape: Life and Loss, One Song at a Time",,1,5
"Sheffield, Rob",Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,,1,5
"Sheinmel, Alyssa B.",The Beautiful Between,,1,5
"Sheldon, Dyan",Confessions of a Teenage Drama Queen,,1,5
"Sheldon, Sidney",Rage of angels,,1,5
"Sheldon, Sidney",Tell Me Your Dreams,,1,5
"Sheldon, Sidney",The Sands of Time,,1,5
"Sheldon, Sidney",The Sky Is Falling,,1,5
"Sheldon, Sidney",The Stars Shine Down,,1,5
"Sheldon, Sidney",Windmills of the Gods,,1,5
"Sheldon, Sidney & Bagshawe, Tilly",Mistress of the Game,,1,5
"Sheldon, Sidney & Bagshawe, Tilly",Sidney Sheldon's After the Darkness,,1,5
"Shelley, Mary Wollstonecraft",Frankenstein,,1,5
"Shelton, Connie",Sweet Masterpiece - The First Samantha Sweet Mystery,,1,3
"Shepard, Sara",Pretty Little Liars,Pretty Little Liars,1,4
"Shepard, Sara",Flawless,Pretty Little Liars,2,4
"Shepard, Sara",Perfect,Pretty Little Liars,3,4
"Shepard, Sara",Unbelievable,Pretty Little Liars,4,4
"Shepard, Sara",Wicked,Pretty Little Liars,5,4
"Shepard, Sara",Killer,Pretty Little Liars,6,4
"Shepard, Sara",Heartless,Pretty Little Liars,7,4
"Shepherd, Cybill & Ball, Aimee Lee",Cybill Disobedience,,1,5
"Shepherd, Jean",In God We Trust: All Others Pay Cash,,1,5
"Shepherd, Lynn",Murder at Mansfield Park,,1,5
"Sherman, David & Cragg, Dan",Star Wars: Jedi Trial,Star Wars: 19.5 BBY,1,3
"Sherman, David & Cragg, Dan",Double Jeopardy,Starfist,14,5
"Sherman, David & Cragg, Dan",Backshot,Starfist: Force Recon,1,3
"Sherman, David & Cragg, Dan",Recoil,Starfist: Force Recon,3,3
"Sherwood, Ben",Charlie St. Cloud,,1,5
"Sherwood, Ben",The Man Who Ate the 747,,1,5
"Shields, Carol",The Box Garden,,1,5
"Shimerman, Armin & George, David R.",The 34th Rule,Star Trek,1999.01,4
"Shin, Kyung-Sook",Please Look After Mom,,1,5
"Shirky, Clay",Cognitive Surplus: Creativity and Generosity in a Connected Age,,1,5
"Shirley, John",Bleak History,,1,5
"Shojai, Amy",Complete Care for Your Aging Cat,,1,5
"Shoneyin, Lola",The Secret Lives of Baba Segi's Wives,,1,5
"Shors, John",Beside a Burning Sea,,1,5
"Shors, John",Dragon House,,1,5
"Shors, John",The Wishing Trees,,1,5
"Shorto, Russell",The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America,,1,5
"Shorto, Russell",The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America,,1,5
"Showalter, Dennis",Hitler's Panzers: The Lightning Attacks That Revolutionized Warfare,,1,5
"Showalter, Gena",The Darkest Secret,,1,5
"Shreve, Anita",A Change in Altitude,,1,5
"Shreve, Anita",A Wedding in December: A Novel,,1,5
"Shreve, Anita",Fortune's rocks: a novel,,1,5
"Shreve, Anita",Light on snow: a novel,,1,5
"Shreve, Anita",Rescue,,1,5
"Shreve, Anita",Resistance: a novel,,1,5
"Shreve, Anita",Sea Glass: A Novel,,1,5
"Shreve, Anita",The Last Time They Met: A Novel,,1,5
"Shreve, Anita",The Pilot's Wife: A Novel,,1,5
"Shreve, Anita",The Weight of Water,,1,5
"Shriver, Lionel",We Need to Talk About Kevin,,1,3
"Shteyngart, Gary",Super Sad True Love Story: A Novel,,1,5
"Shulman, Polly",The Grimm Legacy,,1,5
"Sides, Hampton","Hellhound on His Trail: The Stalking of Martin Luther King, Jr. and the International Hunt for His Assassin",,1,5
"Siegel, Jan",The Dragon Charmer,Fern Capel,2,3
"Siegel, Jan",The witch queen,Fern Capel,3,5
"Siger, Jeffrey",An Aegean Prophecy,,1,5
"Sigler, Scott",Infected: A Novel,,1,5
"Sijie, Dai",Once on a Moonless Night,,1,5
"Sikov, Ed",Mr. Strangelove: A Biography of Peter Sellers,,1,5
"Silva, Daniel",The Kill Artist,Gabriel Allon,1,5
"Silva, Daniel",The English Assassin,Gabriel Allon,2,5
"Silva, Daniel",The Confessor,Gabriel Allon,3,5
"Silva, Daniel",A Death in Vienna,Gabriel Allon,4,5
"Silva, Daniel",Prince of Fire,Gabriel Allon,5,5
"Silva, Daniel",The Messenger,Gabriel Allon,6,5
"Silva, Daniel",The Secret Servant,Gabriel Allon,7,5
"Silva, Daniel",Moscow Rules,Gabriel Allon,8,5
"Silva, Daniel",The Defector,Gabriel Allon,9,5
"Silva, Daniel",The Rembrandt Affair,Gabriel Allon,10,5
"Silva, Daniel",The unlikely spy,,1,5
"Silverman, Kenneth",Begin Again: A Biography of John Cage,,1,5
"Silverman, Sarah","The Bedwetter: Stories of Courage, Redemption, and Pee",,1,5
"Simmons, Bill",The Book of Basketball: The NBA According to the Sports Guy,,1,5
"Simmons, Dan",Summer of Night,Elm Haven,1,4
"Simmons, Dan",A Winter Haunting,Elm Haven,2,4
"Simmons, Dan",Hyperion,Hyperion Cantos,1,5
"Simmons, Dan",The Fall of Hyperion,Hyperion Cantos,2,5
"Simmons, Dan",Endymion,Hyperion Cantos,3,5
"Simmons, Dan",The Rise of Endymion,Hyperion Cantos,4,5
"Simmons, Dan",Ilium,Ilium,1,5
"Simmons, Dan",Olympos,Ilium,2,5
"Simmons, Dan",Carrion Comfort,,1,5
"Simmons, Dan",Drood: A Novel,,1,5
"Simmons, Dan",The terror: a novel,,1,5
"Simmons, Wayne",Flu,,1,4
"Simner, Janni Lee",Bones of Faerie,,1,5
"Simner, Janni Lee",Faerie Winter,,1,5
"Simner, Janni Lee",Thief Eyes,,1,5
"Simon, Albert",For Sale in Palm Springs: The Henry Wright Mystery Series,,1,3
"Simon, David",Homicide: A Year on the Killing Streets,,1,5
"Simons, Paullina",The Bronze Horseman,Tatiana and Alexander Trilogy,1,4
"Sims, Michael",The Penguin Book of Victorian Women in Crime: Forgotten Cops and Private Eyes From the Time of Sherlock Holmes,,1,5
"Sinclair, Alison",Darkborn,Darkborn,1,5
"Sinclair, Upton",The Jungle,,1,5
"Singer, Isaac Bashevis",The Last Demon,,1,5
"Singer, Judy Reene",An Inconvenient Elephant,Neelie,2,5
"Singer, Randy",By Reason of Insanity,,1,5
"Singh, Jaspreet",Chef,,1,5
"Sirleaf, Ellen Johnson",This Child Will Be Great,,1,5
"Sirota, David","Back to Our Future: How the 1980s Explains the World We Live in Now--Our Culture, Our Politics, Our Everything",,1,5
"Sixx, Nikki & Gittins, Ian",The Heroin Diaries: A Year in the Life of a Shattered Rock Star,,1,4
"Skelton, Matthew",The Story of Cirrus Flux,,1,5
"Skloot, Rebecca",The Immortal Life of Henrietta Lacks,,1,5
"Skousen, W. Cleon",The 5000 Year Leap: A Miracle That Changed the World,,1,5
"Slade, Arthur",The Hunchback Assignments,The Hunchback Assignments,1,5
"Slansky, Paul",The Clothes Have No Emperor: A Chronicle of the American '80s,,1,5
"Slawenski, Kenneth",J. D. Salinger: A Life,,1,5
"Sleator, William",House of Stairs,,1,3
"Sledge, E. B.",With the Old Breed: At Peleliu and Okinawa,,1,5
"Sloan, Robin",The Writer and the Witch,,1,3
"Small, Bertrice",The Kadin,,1,5
"Small, Gary & Vorgan, Gigi",The Naked Lady Who Stood on Her Head: A Psychiatrist's Stories of His Most Bizarre Cases,,1,5
"Smedman, Lisa",Sacrifice of the Widow: Lady Penitent,Forgotten Realms: The Lady Penitent,1,5
"Smiley, Jane",Private Life,,1,5
"Smiley, Jane",The All-True Travels and Adventures of Lidie Newton: A Novel,,1,5
"Smiley, Jane",The Greenlanders,,1,5
"Smilow, Rick & McBride, Anne E.",Culinary Careers: How to Get Your Dream Job in Food With Advice From Top Culinary Professionals,,1,5
"Smith, Alexander McCall",The Unbearable Lightness of Scones,44 Scotland Street,5,5
"Smith, Alexander McCall",Corduroy Mansions,Corduroy Mansions,1,5
"Smith, Alexander McCall",The Dog Who Came in from the Cold,Corduroy Mansions,2,3
"Smith, Alexander McCall",The No. 1 Ladies' Detective Agency,The No. 1 Ladies' Detective Agency,1,4
"Smith, Alexander McCall",Tea Time for the Traditionally Built,The No. 1 Ladies' Detective Agency,10,5
"Smith, Alexander McCall",The Double Comfort Safari Club,The No. 1 Ladies' Detective Agency,11,5
"Smith, Alexander McCall",Folktales from Africa: the Baboons who went this way and that,,1,5
"Smith, Alexander McCall",La's Orchestra Saves the World,,1,5
"Smith, Alexander McCall",The Saturday Big Tent Wedding Party: The New No. 1 Ladies' Detective Agency Novel,,1,5
"Smith, Ali",The First Person: And Other Stories,,1,5
"Smith, Andrew",Doctor Who: Full Circle,Doctor Who: Target,26,4
"Smith, April","Good Morning, Killer",Ana Grey,2,5
"Smith, April",Judas Horse: An FBI Special Agent Ana Grey Mystery,,1,5
"Smith, Betty",A tree grows in Brooklyn,,1,5
"Smith, Bryan",Depraved,,1,4
"Smith, Cordwainer",The Best of Cordwainer Smith,,1,5
"Smith, Cynthia Leitich",Tantalize,Tantalize,1,5
"Smith, Dale",Doctor Who: Heritage,Doctor Who: Past Adventures,57,3
"Smith, Dean Wesley & Roddenberry, Gene",A Hard Rain,Star Trek: TNG,101,3
"Smith, Dean Wesley & Rusch, Kristine Kathryn",Invasion 02: The Soldiers of Fear,Star Trek: TNG,55,3
"Smith, Dean Wesley & Rusch, Kristine Kathryn",Double Helix 02: Vectors,Star Trek: TNG,77,3
"Smith, Greg B.",Made Men: The True Rise-And-Fall Story of a New Jersey Mob Family,,1,3
"Smith, Greg B.",Nothing but Money: How the Mob Infiltrated Wall Street,,1,5
"Smith, James Robert",The Flock,,1,5
"Smith, L. Neil",Star Wars: Lando Calrissian and the Starcave of Thonboka,Star Wars: 3 BBY,1,3
"Smith, L. Neil",Star Wars: Lando Calrissian and the Mindharp of Sharu,Star Wars: 4 BBY,1,3
"Smith, L. Neil",Star Wars: Lando Calrissian and the Flamewind of Oseon,Star Wars: 4 BBY,2,3
"Smith, Laurence C.",The World in 2050: Four Forces Shaping Civilization's Northern Future,,1,5
"Smith, Martin Cruz",Three Stations: An Arkady Renko Novel,Arkady Renko,7,5
"Smith, Martin Cruz",December 6: A Novel,,1,4
"Smith, Oli",Doctor Who: Nuclear Time,Doctor Who: New Series,40,3
"Smith, Patti",Just Kids,,1,5
"Smith, Scott",A Simple Plan,,1,5
"Smith, Tim",Making Artisan Cheese: 50 Fine Cheeses That You Can Make in Your Own Kitchen,,1,5
"Smith, Tom Rob",Child 44,Leo Demidov,1,4
"Smith, Wilbur",Warlock,Ancient Egyptian,3,3
"Smith, Wilbur",Those in Peril,,1,5
"Smith, Zadie",Changing my mind: occasional essays,,1,5
"Smith, Zadie",The Book of Other People,,1,5
"Snicket, Lemony",A Series of Unfortunate Events #1: The bad beginning,A Series of Unfortunate Events,1,4
"Snicket, Lemony",A Series of Unfortunate Events #8: The Hostile Hospital,A Series of Unfortunate Events,8,4
"Snicket, Lemony",A Series of Unfortunate Events #10: The Slippery Slope,A Series of Unfortunate Events,10,4
