author_sort,title,series,series_index,Stars (out of 5)
"Anderson, Kevin J. & Moesta, Rebecca",Star Wars: Young Jedi Knights 14: Crisis at Crystal Reef,Star Wars: 24 ABY,7,3
"Anderson, M. T.",Thirsty,,1,5
"Anderson, Taylor",Distant Thunders: Destroyermen,,1,5
"Andrews, Helena",Bitch Is the New Black: A Memoir,,1,5
"Andrews, Ilona",Bayou Moon,,1,5
"Andrews, Julie",Home: A Memoir of My Early Years,,1,4
"Andrews, Russell",Aphrodite,,1,5
"Andrews, Russell",Hades,,1,5
"Andrus, James",The Perfect Woman,,1,5
"Angelou, Maya",I Know Why the Caged Bird Sings,Maya Angelou's Autobiographies,1,5
"Angelou, Maya",A Song Flung Up to Heaven,,1,5
"Angelou, Maya",Gather Together in My Name,,1,5
"Angelou, Maya","Great Food, All Day Long: Cook Splendidly, Eat Smart",,1,5
"Angelou, Maya",Hallelujah! The Welcome Table: A Lifetime of Memories With Recipes,,1,5
"Angelou, Maya",Letter to My Daughter,,1,5
"Angelou, Maya",Singin' and Swingin' and Gettin' Merry Like Christmas,,1,5
"Angelou, Maya",The Heart of a Woman,,1,5
"Anghelides, Peter",Doctor Who: Kursaal,Doctor Who: Eight Doctor,7,3
"Anghelides, Peter",Doctor Who: Frontier Worlds,Doctor Who: Eight Doctor,29,3
"Anghelides, Peter",Doctor Who: Another Life,Doctor Who: Torchwood,1,5
"Anghelides, Peter",Doctor Who: Pack Animals,Doctor Who: Torchwood,7,5
"Anghelides, Peter & Cole, Stephen",Doctor Who: The Ancestor Cell,Doctor Who: Eight Doctor,36,4
Anonymous,Aladdin and the Magic Lamp,,1,4
Anonymous,Beowulf,,1,5
Anonymous,Bike Snob,,1,5
Anonymous,Goody Two-Shoes,,1,4
Anonymous,The Arabian Nights,,1,5
Anonymous,"The Arabian Nights Entertainments: Consisting of One Thousand and One Stories, Told by the Sultaness of the Indies, ... Freely Transcribed From the Original Translation. ...",,1,4
Anonymous,The Diary of A U-Boat Commander,,1,4
Anonymous,"The Metrical History of Tom Thumb the Little, as Issued Early in the 18th Century",,1,4
"Ansay, A. Manette",Good Things I Wish You,,1,5
"Anthony, Joëlle",Restoring Harmony,,1,5
"Anthony, Mark",The Gates of Winter,Last Rune,5,5
"Anthony, Michael","Mass Casualties: A Young Medic's True Story of Death, Deception, and Dishonor in Iraq",,1,5
"Anthony, Piers",Split Infinity,Apprentice adept,1,3
"Anthony, Piers",Blue Adept,Apprentice adept,2,3
"Anthony, Piers",Juxtaposition,Apprentice adept,3,3
"Anthony, Piers",Out of Phaze,Apprentice adept,4,3
"Anthony, Piers",Robot Adept,Apprentice adept,5,3
"Anthony, Piers",Unicorn Point,Apprentice adept,6,3
"Anthony, Piers",Phaze Doubt,Apprentice adept,7,3
"Anthony, Piers",For love of evil,Incarnations of Immortality,6,4
"Anthony, Piers",A Spell for Chameleon,Xanth,1,4
"Anthony, Piers",The Source of Magic,Xanth,2,4
"Anthony, Piers",Castle Roogna,Xanth,3,4
"Anthony, Piers",Centaur Aisle,Xanth,4,4
"Anthony, Piers","Ogre, Ogre",Xanth,5,4
"Anthony, Piers",Night Mare,Xanth,6,4
"Anthony, Piers",Dragon on a Pedestal,Xanth,7,4
"Anthony, Piers",Crewel Lye: A Caustic Yarn,Xanth,8,4
"Anthony, Piers",Golem in the Gears,Xanth,9,4
"Anthony, Piers",Vale of the Vole,Xanth,10,4
"Anthony, Piers",Heaven Cent,Xanth,11,4
"Anthony, Piers",Man From Mundania,Xanth,12,4
"Anthony, Piers",Isle of View,Xanth,13,4
"Anthony, Piers",Question Quest,Xanth,14,4
"Anthony, Piers",The Color of Her Panties,Xanth,15,4
"Anthony, Piers",Demons Don't Dream,Xanth,16,4
"Anthony, Piers",Harpy Thyme,Xanth,17,4
"Anthony, Piers",Geis of the Gargoyle,Xanth,18,4
"Anthony, Piers",Roc and a Hard Place,Xanth,19,4
"Anthony, Piers",Yon Ill Wind,Xanth,20,4
"Anthony, Piers",Faun and Games,Xanth,21,4
"Anthony, Piers",Zombie Lover,Xanth,22,4
"Anthony, Piers",Xone of Contention,Xanth,23,4
"Anthony, Piers",The Dastard,Xanth,24,4
"Anthony, Piers",Swell Foop,Xanth,25,4
"Anthony, Piers",Up in a Heaval,Xanth,26,4
"Anthony, Piers",Cube Route,Xanth,27,4
"Anthony, Piers",Currant Events,Xanth,28,4
"Anthony, Piers",Pet Peeve,Xanth,29,4
"Anthony, Piers",Stork Naked,Xanth,30,4
"Anthony, Piers",Air Apparent,Xanth,31,4
"Anthony, Piers",Two to the Fifth,Xanth,32,4
"Anthony, Piers",Jumper Cable,Xanth,33,4
"Anthony, Piers",Firefly,,1,3
"Anvil, Christopher & Flint, Eric",RX for Chaos,,1,4
"Appleby, Joyce & Appleby, Joyce Oldham",The Relentless Revolution: A History of Capitalism,,1,5
"Archer, Alex",Destiny,Rogue Angel,1,4
"Archer, Alex",Solomon's jar,Rogue Angel,2,4
"Archer, Alex",The Spider Stone,Rogue Angel,3,4
"Archer, Alex",The Chosen,Rogue Angel,4,4
"Archer, Alex",Forbidden City,Rogue Angel,5,4
"Archer, Alex",The Lost Scrolls,Rogue Angel,6,4
"Archer, Alex",God Of Thunder,Rogue Angel,7,4
"Archer, Alex",Secret of the Slaves,Rogue Angel,8,4
"Archer, Alex",Warrior Spirit,Rogue Angel,9,4
"Archer, Alex",Serpent's Kiss,Rogue Angel,10,4
"Archer, Alex",Provenance,Rogue Angel,11,4
"Archer, Alex",The Soul Stealer,Rogue Angel,12,4
"Archer, Alex",Gabriel's Horn,Rogue Angel,13,4
"Archer, Alex",The Golden Elephant,Rogue Angel,14,4
"Archer, Alex",Swordsman's Legacy,Rogue Angel,15,4
"Archer, Alex",Polar Quest,Rogue Angel,16,4
"Archer, Alex",Eternal Journey,Rogue Angel,17,4
"Archer, Alex",Sacrifice,Rogue Angel,18,4
"Archer, Alex",Seeker's Curse,Rogue Angel,19,4
"Archer, Alex",Footprints,Rogue Angel,20,4
"Archer, Alex",Paradox,Rogue Angel,21,4
"Archer, Alex",The Spirit Banner,Rogue Angel,22,4
"Archer, Alex",Sacred Ground,Rogue Angel,23,4
"Archer, Alex",The Bone Conjurer,Rogue Angel,24,4
"Archer, Alex",Tribal Ways,Rogue Angel,25,4
"Archer, Alex",The Dragon's Mark,Rogue Angel,26,4
"Archer, Alex",Phantom Prospect,Rogue Angel,27,5
"Archer, Alex",Restless Soul,Rogue Angel,28,5
"Archer, Alex",False Horizon,Rogue Angel,29,5
"Archer, Jeffrey",Paths of Glory,,1,5
"Archer, Zoe & Archer",Warrior,Blade of the Rose,1,5
"Archer, Zoe & Archer",Scoundrel,Blade of the Rose,2,5
"Archer, Zoe & Archer",Rebel,Blade of the Rose,3,5
"Archer, Zoe & Archer",Stranger,,1,5
"Archuleta, David & Haim, Monica","Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance",,1,5
"Arden, Tom",Doctor Who: Nightdreamers,Doctor Who: Telos Novellas,3,3
"Arden, William",The Mystery of the Moaning Cave,The Three Investigators,10,3
"Arden, William",The Mystery of the Laughing Shadow,The Three Investigators,12,4
"Arden, William",The Secret of the Crooked Cat,The Three Investigators,13,4
"Arden, William",The Mystery of the Shrinking House,The Three Investigators,18,4
"Arden, William",The Secret of Phantom Lake,The Three Investigators,19,4
"Arden, William",The Mystery of the Dead Man's Riddle,The Three Investigators,22,4
